,Sentence,Signer,Frames path
0,are you free today,3,"['E:\\sentence_augmentation\\are you free today\\aug_free 01.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 02.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 03.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 04.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 05.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 06.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 07.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 08.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 09.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 10.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 11.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 12.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 13.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 14.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 15.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 16.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 17.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 18.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 19.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 20.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 21.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 22.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 23.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 24.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 25.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 26.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 27.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 28.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 29.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 30.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 31.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 32.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 33.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 34.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 35.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 36.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 37.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 38.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 39.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 40.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 41.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free 42.jpg']"
1,are you free today,4,"['E:\\sentence_augmentation\\are you free today\\aug_free (2) 01.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 02.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 03.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 04.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 05.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 06.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 07.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 08.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 09.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 10.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 11.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 12.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 13.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 14.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 15.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 16.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 17.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 18.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 19.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 20.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 21.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 22.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 23.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 24.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 25.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 26.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 27.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 28.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 29.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 30.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 31.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (2) 32.jpg']"
2,are you free today,5,"['E:\\sentence_augmentation\\are you free today\\aug_free (3) 01.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 02.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 03.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 04.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 05.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 06.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 07.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 08.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 09.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 10.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 11.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 12.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 13.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 14.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 15.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 16.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 17.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 18.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 19.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 20.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 21.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 22.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 23.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 24.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 25.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 26.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 27.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 28.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 29.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 30.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 31.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 32.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 33.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 34.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 35.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 36.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 37.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 38.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 39.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (3) 40.jpg']"
3,are you free today,6,"['E:\\sentence_augmentation\\are you free today\\aug_free (4) 01.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 02.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 03.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 04.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 05.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 06.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 07.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 08.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 09.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 10.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 11.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 12.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 13.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 14.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 15.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 16.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 17.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 18.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 19.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 20.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 21.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 22.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 23.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 24.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 25.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 26.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 27.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 28.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 29.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 30.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 31.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 32.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 33.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (4) 34.jpg']"
4,are you free today,7,"['E:\\sentence_augmentation\\are you free today\\aug_free (5) 01.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 02.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 03.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 04.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 05.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 06.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 07.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 08.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 09.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 10.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 11.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 12.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 13.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 14.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 15.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 16.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 17.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 18.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 19.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 20.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 21.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 22.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 23.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 24.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 25.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 26.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 27.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 28.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 29.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 30.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 31.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 32.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 33.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 34.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 35.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 36.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 37.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 38.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 39.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 40.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 41.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 42.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 43.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 44.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 45.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 46.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 47.jpg', 'E:\\sentence_augmentation\\are you free today\\aug_free (5) 48.jpg']"
5,are you hiding something,3,"['E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (1).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (10).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (11).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (12).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (13).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (14).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (15).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (16).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (17).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (18).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (19).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (2).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (20).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (21).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (22).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (23).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (24).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (25).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (26).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (27).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (28).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (29).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (3).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (30).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (31).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (32).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (33).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (34).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (4).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (5).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (6).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (7).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (8).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (9).jpg']"
6,are you hiding something,4,"['E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (1).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (10).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (11).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (12).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (13).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (14).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (15).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (16).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (17).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (18).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (19).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (2).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (20).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (21).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (22).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (23).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (24).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (25).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (26).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (27).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (28).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (29).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (3).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (30).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (31).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (32).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (33).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (34).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (35).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (36).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (4).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (5).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (6).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (7).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (8).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (9).jpg']"
7,are you hiding something,5,"['E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (1).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (10).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (11).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (12).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (13).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (14).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (15).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (16).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (17).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (18).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (19).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (2).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (20).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (21).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (22).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (23).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (24).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (25).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (26).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (27).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (28).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (29).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (3).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (30).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (31).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (32).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (33).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (34).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (35).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (36).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (37).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (38).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (39).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (4).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (40).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (41).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (42).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (5).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (6).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (7).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (8).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (9).jpg']"
8,are you hiding something,6,"['E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (1).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (10).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (11).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (12).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (13).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (14).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (15).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (16).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (17).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (18).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (19).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (2).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (20).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (3).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (4).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (5).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (6).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (7).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (8).jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_are you hiding something (9).jpg']"
9,are you hiding something,7,"['E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 01.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 02.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 03.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 04.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 05.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 06.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 07.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 08.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 09.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 10.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 11.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 12.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 13.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 14.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 15.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 16.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 17.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 18.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 19.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 20.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 21.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 22.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 23.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 24.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 25.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 26.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 27.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 28.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 29.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 30.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 31.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 32.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 33.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 34.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 35.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 36.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 37.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 38.jpg', 'E:\\sentence_augmentation\\are you hiding something\\aug_MVI_6209 39.jpg']"
